"customer","payment_amount","dvd_rental_quantity"
"Jerry","111.76","24"
"Clifton","111.74","26"
"Cindy","111.73","27"
"Daryl","111.73","27"
"Audrey","111.73","27"
"Holly","111.71","29"
"Carolyn","111.71","29"
"Terrance","111.71","29"
"Myrtle","110.76","24"
"Charlie","110.76","24"
"Andre","110.74","26"
"Gina","110.73","27"
"Michele","110.73","27"
"Ruby","110.72","28"
"Everett","110.72","28"
"Terrence","110.71","29"
"Heidi","110.68","32"
"Beatrice","109.77","23"
"Fernando","109.77","23"
"Isaac","109.76","24"
"Charlene","109.75","25"
"Sandra","109.75","25"
"Clifford","109.73","27"
"Ted","109.73","27"
"Randy","109.73","27"
"Herman","109.72","28"
"Todd","109.72","28"
"Theodore","109.72","28"
"Kyle","109.71","29"
"Sonia","108.78","22"
"Eduardo","108.77","23"
"Olga","108.76","24"
"Seth","108.76","24"
"Raymond","108.75","25"
"Gabriel","108.75","25"
"Julian","108.73","27"
"Minnie","108.72","28"
"Sally","108.71","29"
"Mae","107.79","21"
"Johnnie","107.78","22"
"Jesus","107.77","23"
"Stephen","107.74","26"
"Lucille","107.73","27"
"Mario","107.73","27"
"Darlene","107.71","29"
"Maxine","107.70","30"
"Jeff","107.70","30"
"Lois","107.66","34"
"Dan","106.79","21"
"Douglas","106.77","23"
"Marlene","106.77","23"
"Gail","106.76","24"
"Claudia","106.75","25"
"Dean","106.74","26"
"Victoria","106.74","26"
"Sarah","106.73","27"
"Bill","106.73","27"
"Erin","106.73","27"
"Julie","106.72","28"
"Hazel","106.68","32"
"Elaine","105.78","22"
"Sam","105.78","22"
"Eric","105.78","22"
"Shelly","105.77","23"
"Katie","105.77","23"
"Jean","105.76","24"
"Bryan","105.76","24"
"Earl","105.74","26"
"Amanda","105.74","26"
"Diana","105.73","27"
"Marcus","105.72","28"
"Cynthia","105.70","30"
"Carl","104.79","21"
"Brent","104.78","22"
"Violet","104.76","24"
"Josephine","104.75","25"
"Dolores","104.75","25"
"Dale","104.74","26"
"Brenda","104.74","26"
"Deborah","104.73","27"
"Jimmy","104.72","28"
"Leroy","104.71","29"
"Peter","103.78","22"
"Ramona","103.77","23"
"Tracey","103.77","23"
"Kristin","103.74","26"
"Courtney","103.74","26"
"Carla","103.74","26"
"Manuel","103.73","27"
"Sharon","103.73","27"
"Misty","102.78","22"
"Max","102.77","23"
"Ben","102.77","23"
"Lillian","102.76","24"
"Sergio","102.76","24"
"Yolanda","102.75","25"
"Ellen","102.75","25"
"Marie","101.79","21"
"Leo","101.78","22"
"Robin","101.77","23"
"Rene","101.76","24"
"Leonard","101.70","30"
"Glen","100.77","23"
"Sidney","100.76","24"
"Brad","100.76","24"
"Vickie","100.75","25"
"Juanita","100.72","28"
"Ron","99.78","22"
"Lisa","99.77","23"
"Sherri","99.74","26"
"Evelyn","99.74","26"
"Ken","99.73","27"
"Angel","99.72","28"
"Tom","99.71","29"
"Bobby","99.68","32"
"Ruth","98.82","18"
"Frank","98.77","23"
"Annette","98.76","24"
"Clinton","98.76","24"
"Jeremy","98.75","25"
"Gwendolyn","98.75","25"
"Francis","98.75","25"
"Ross","98.74","26"
"Rose","97.80","20"
"Adam","97.80","20"
"Leon","97.79","21"
"Pedro","97.78","22"
"Wallace","97.78","22"
"Laurie","97.78","22"
"Rodney","97.78","22"
"Shannon","97.77","23"
"Virgil","97.75","25"
"Mabel","97.75","25"
"Cassandra","96.79","21"
"Carlos","96.79","21"
"Nina","96.79","21"
"Louise","96.78","22"
"Albert","96.78","22"
"Betty","96.77","23"
"Vincent","96.77","23"
"Edward","96.76","24"
"Micheal","96.76","24"
"Velma","96.76","24"
"Melvin","96.75","25"
"Reginald","96.75","25"
"Denise","96.74","26"
"Dwayne","95.80","20"
"Willard","95.79","21"
"Connie","95.79","21"
"Darren","95.78","22"
"Gary","95.78","22"
"Stacy","95.78","22"
"Shane","95.78","22"
"Walter","95.76","24"
"Beth","95.76","24"
"Ronnie","95.76","24"
"Esther","95.72","28"
"Laura","94.81","19"
"Nicole","94.78","22"
"Danielle","94.78","22"
"Brandy","94.77","23"
"Suzanne","94.76","24"
"Dorothy","94.76","24"
"Geraldine","94.76","24"
"Carmen","94.75","25"
"Kevin","93.83","17"
"Claude","93.80","20"
"Edwin","93.80","20"
"Francisco","93.79","21"
"Ronald","93.79","21"
"Joshua","93.78","22"
"Dawn","93.78","22"
"Phillip","93.76","24"
"Martin","93.75","25"
"Tamara","93.75","25"
"Howard","93.74","26"
"Nancy","93.74","26"
"Frances","92.81","19"
"Cody","92.80","20"
"Joseph","92.80","20"
"Bruce","92.79","21"
"Andrea","92.79","21"
"Chester","92.78","22"
"Joel","92.78","22"
"Elmer","92.76","24"
"Renee","92.76","24"
"Carole","92.75","25"
"Dustin","92.75","25"
"Melanie","92.75","25"
"Rafael","91.81","19"
"Ricardo","91.81","19"
"Wilma","91.80","20"
"Pamela","91.79","21"
"Travis","91.78","22"
"Vicki","91.78","22"
"Sean","91.77","23"
"Matthew","91.75","25"
"Ivan","91.75","25"
"Judith","91.70","30"
"Deanna","90.78","22"
"Natalie","90.78","22"
"Emily","90.77","23"
"Kathleen","90.75","25"
"Derek","90.73","27"
"Hugh","89.80","20"
"Beverly","89.78","22"
"Christine","89.78","22"
"Andrew","89.78","22"
"Benjamin","89.78","22"
"Lillie","89.77","23"
"Jackie","89.77","23"
"Edgar","89.77","23"
"Bertha","89.77","23"
"Judy","89.77","23"
"Rebecca","89.76","24"
"Darrell","89.76","24"
"Lawrence","89.71","29"
"Dora","88.81","19"
"Stella","88.81","19"
"Aaron","88.80","20"
"Anna","88.80","20"
"Mildred","88.78","22"
"Glenn","88.78","22"
"Georgia","88.77","23"
"Heather","88.76","24"
"Pauline","88.75","25"
"Theresa","88.73","27"
"Donna","87.82","18"
"Tara","87.81","19"
"Harvey","87.80","20"
"Derrick","87.80","20"
"Kurt","87.80","20"
"Richard","87.80","20"
"Loretta","87.79","21"
"Maureen","87.79","21"
"Charlotte","87.78","22"
"Jack","87.77","23"
"Freddie","87.77","23"
"Raul","86.82","18"
"Nellie","86.81","19"
"Vanessa","86.81","19"
"Lewis","86.81","19"
"Ruben","86.81","19"
"Erica","86.80","20"
"Agnes","86.79","21"
"Constance","86.77","23"
"Peggy","86.77","23"
"Chad","86.76","24"
"Allison","86.75","25"
"Ian","86.75","25"
"Lucy","86.75","25"
"Wendy","86.73","27"
"Randall","85.80","20"
"Alfredo","85.80","20"
"Jon","85.78","22"
"Victor","85.78","22"
"Kimberly","85.77","23"
"Susan","85.77","23"
"Jane","85.77","23"
"Jay","85.75","25"
"Lonnie","84.84","16"
"Julio","84.81","19"
"Doris","84.81","19"
"Mathew","84.80","20"
"Bonnie","84.80","20"
"James","84.79","21"
"Jennifer","84.75","25"
"Eva","83.82","18"
"Corey","83.81","19"
"Bernard","83.79","21"
"Wade","83.78","22"
"Patrick","83.77","23"
"Tyler","82.81","19"
"Bob","82.78","22"
"Gene","82.76","24"
"Jared","81.83","17"
"Vernon","81.83","17"
"Thomas","81.81","19"
"Jason","81.81","19"
"Yvonne","81.81","19"
"Mark","81.80","20"
"Lorraine","81.80","20"
"Barbara","81.78","22"
"Christian","81.78","22"
"Cory","81.76","24"
"Megan","81.75","25"
"Paul","80.85","15"
"Oscar","80.83","17"
"Eileen","80.82","18"
"Steven","80.81","19"
"Vivian","80.80","20"
"Kristina","80.78","22"
"Becky","80.78","22"
"Roland","80.77","23"
"Keith","80.77","23"
"Edna","79.81","19"
"David","79.81","19"
"Jenny","79.80","20"
"Roberta","79.80","20"
"Jesse","79.78","22"
"Clarence","79.75","25"
"Frederick","78.84","16"
"Austin","78.82","18"
"Carol","78.81","19"
"Dennis","78.80","20"
"Margaret","78.80","20"
"Joan","78.79","21"
"Erika","78.79","21"
"Colleen","78.78","22"
"Ricky","78.77","23"
"Melinda","77.84","16"
"Luis","77.81","19"
"Emma","77.81","19"
"Chris","77.80","20"
"Ernest","77.79","21"
"Rita","77.78","22"
"Lydia","77.77","23"
"Marian","76.82","18"
"Phyllis","76.80","20"
"Kim","76.80","20"
"Pearl","76.78","22"
"Christina","75.83","17"
"Leah","75.81","19"
"Samuel","75.80","20"
"Clayton","75.79","21"
"Darryl","75.78","22"
"Ida","75.78","22"
"Kristen","74.84","16"
"Dwight","74.83","17"
"Allen","74.83","17"
"Larry","74.81","19"
"Jacob","74.80","20"
"Irene","74.79","21"
"April","74.77","23"
"Antonio","73.85","15"
"Toni","73.83","17"
"Danny","73.82","18"
"Herbert","73.81","19"
"Rachel","73.81","19"
"Alicia","73.81","19"
"Lance","73.80","20"
"Enrique","73.78","22"
"Gregory","73.78","22"
"Norman","73.76","24"
"Paula","72.83","17"
"Armando","72.82","18"
"Timothy","72.82","18"
"Anne","72.79","21"
"Robert","71.85","15"
"Delores","71.84","16"
"Norma","71.81","19"
"Ray","71.80","20"
"Billie","71.79","21"
"Samantha","71.77","23"
"Eugene","70.82","18"
"Irma","70.82","18"
"Wayne","70.81","19"
"William","70.81","19"
"Edith","69.83","17"
"Franklin","69.79","21"
"Fred","69.79","21"
"Daniel","68.87","13"
"Floyd","68.84","16"
"Adrian","68.82","18"
"Felicia","68.77","23"
"Ann","67.86","14"
"Jerome","67.86","14"
"Kenneth","67.86","14"
"Vera","67.82","18"
"Jeanette","66.82","18"
"Lloyd","66.81","19"
"Alberto","66.79","21"
"Kay","65.87","13"
"Jonathan","65.83","17"
"Jeffrey","65.83","17"
"Marvin","65.81","19"
"Joann","64.85","15"
"Henry","64.84","16"
"Jose","64.82","18"
"Allan","63.84","16"
"Donald","63.84","16"
"Juan","63.79","21"
"Felix","63.78","22"
"Lester","62.85","15"
"Nelson","62.84","16"
"Tony","62.81","19"
"Scott","60.82","18"
"Anita","59.86","14"
"Lauren","59.83","17"
"Jill","58.83","17"
"Annie","58.82","18"
"Mattie","58.80","20"
"Katherine","57.87","13"
"Sheila","57.86","14"
"Johnny","57.81","19"
"Penny","56.84","16"
"Jo","54.85","15"
"Bobbie","52.81","19"
"Kirk","50.83","17"
"Tiffany","49.88","12"
"Anthony","47.85","15"
"Caroline","37.87","13"
"Leona","32.90","10"
"Brian","27.93","7"
